run_id,beamOn,Emean_MeV,sigmaE_MeV,sigmaTheta_deg,sigma_x_mm,sigma_y_mm,applicator_cm,latDmax_z_mm,latR50_z_mm,latMid_z_mm,config

#2001,100000000,9.70,1.30,0.2,0.73,0.73,5,446.0,460.2,453.1,flash9_5cm
#2002,100000000,9.70,1.30,0.2,0.73,0.73,2,438.0,444.3,441.1,flash9_2cm
#2003,100000000,6.70,1.00,0.2,0.73,0.73,5,441.0,448.1,444.5,flash6_5cm
#2004,100000000,6.70,1.00,0.2,0.73,0.73,2,438.1,453.1,445.6,flash6_2cm


#2005,300000000,9.70,1.30,0.2,0.73,0.73,5,444.0,463.4,453.7,flash9_10cm
#2006,300000000,9.70,1.30,0.2,0.73,0.73,2,438.0,444.3,441.1,flash9_2cm
#2007,300000000,6.70,1.00,0.2,0.73,0.73,5,439.0,449.1,444.3,flash6_10cm
#2008,300000000,6.70,1.00,0.2,0.73,0.73,2,438.1,453.1,445.6,flash6_2cm

#2009,500000000,9.70,1.30,0.2,0.73,0.73,5,446.0,460.2,453.1,flash9_5cm
#2010,500000000,6.70,1.00,0.2,0.73,0.73,5,441.0,448.1,444.5,flash6_5cm
#2011,500000000,9.70,1.30,0.2,0.73,0.73,10,444.0,463.4,453.7,flash9_10cm
#2012,500000000,9.70,1.30,0.2,0.73,0.73,2,438.0,444.3,441.1,flash9_2cm
#2013,500000000,6.70,1.00,0.2,0.73,0.73,5,439.0,449.1,444.3,flash6_10cm
#2014,500000000,6.70,1.00,0.2,0.73,0.73,2,438.1,453.1,445.6,flash6_2cm

3001,500000000,9.70,1.30,0.2,0.73,0.73,10,444.0,463.4,453.7,flash9_10cm
3002,500000000,9.70,1.30,0.2,0.73,0.73,5,446.0,460.2,453.1,flash9_5cm
3003,500000000,9.70,1.30,0.2,0.73,0.73,2,438.0,444.3,441.1,flash9_2cm

3004,500000000,6.70,1.00,0.2,0.73,0.73,10,439.0,449.5,444.3,flash6_10cm
3005,500000000,6.70,1.00,0.2,0.73,0.73,5,441.0,448.1,444.5,flash6_5cm
3006,500000000,6.70,1.00,0.2,0.73,0.73,2,438.1,453.1,445.6,flash6_2cm









