# mesh name: latDmax2D
# primitive scorer name: latDmaxDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,4.692021510627091e-06,3.80763798955953e-14,990
1,0,0,4.581922087594196e-06,3.714343053872248e-14,977
2,0,0,4.582783311020055e-06,3.718939152514701e-14,978
3,0,0,4.796436120763571e-06,3.988536074283332e-14,1023
4,0,0,4.695983776614498e-06,3.650718984640766e-14,1032
5,0,0,4.947048546323373e-06,4.128468327813899e-14,1045
6,0,0,5.028509740266325e-06,4.324946049849863e-14,1042
7,0,0,4.592143058474739e-06,3.495987622542922e-14,1043
8,0,0,4.90788633179719e-06,3.813135638185112e-14,1084
9,0,0,5.021336464146913e-06,4.131116468497099e-14,1100
10,0,0,5.288196060753756e-06,4.459290271062628e-14,1121
11,0,0,5.080151590848559e-06,4.107725480232527e-14,1135
12,0,0,5.343270076972686e-06,4.640337548005802e-14,1102
13,0,0,4.779834195660569e-06,3.656440381581016e-14,1087
14,0,0,5.557411353079963e-06,4.510002664371336e-14,1175
15,0,0,5.495165621712576e-06,4.507770036443327e-14,1187
16,0,0,5.332475078082521e-06,4.339393808864936e-14,1167
17,0,0,5.272005432707109e-06,4.343181063102644e-14,1138
18,0,0,5.566182596809595e-06,4.326115331636353e-14,1240
19,0,0,6.184460172831837e-06,5.195109379865282e-14,1299
20,0,0,6.127441634869317e-06,5.113487730694754e-14,1290
21,0,0,6.486504876338597e-06,5.302610107752547e-14,1379
22,0,0,7.327226900687856e-06,5.918965433630213e-14,1544
23,0,0,8.148503482796606e-06,7.086281675809071e-14,1674
24,0,0,8.122233280182802e-06,6.430424868812915e-14,1752
25,0,0,9.182104955453692e-06,7.49803404174331e-14,1917
26,0,0,9.915340946984847e-06,8.025780329265443e-14,2086
27,0,0,1.140031516366165e-05,9.434978863561109e-14,2326
28,0,0,1.31710161634101e-05,1.062435134091703e-13,2661
29,0,0,1.521733210826313e-05,1.272481417154808e-13,2945
30,0,0,1.614191743886602e-05,1.311687286607731e-13,3237
31,0,0,1.848604713846175e-05,1.438275671762306e-13,3776
32,0,0,2.182334079122556e-05,1.753547823792069e-13,4329
33,0,0,2.559173848452813e-05,2.073859758068358e-13,5061
34,0,0,3.093359923789341e-05,2.506222613470105e-13,6002
35,0,0,3.487936012083477e-05,2.757001439011901e-13,6955
36,0,0,4.059493986974882e-05,3.171989208740323e-13,8109
37,0,0,4.979105307397783e-05,3.970113534846492e-13,9812
38,0,0,5.935676414897185e-05,4.668919217605326e-13,11830
39,0,0,7.155693456394049e-05,5.579377428145226e-13,14264
40,0,0,8.731351224739922e-05,6.859623012577576e-13,17417
41,0,0,0.0001048245784379379,8.026938400374968e-13,21328
42,0,0,0.0001330131216076085,1.009116380178903e-12,27135
43,0,0,0.0001668094946462043,1.255375026028381e-12,34147
44,0,0,0.0002109948918603404,1.54172210076521e-12,44184
45,0,0,0.0002801748560021326,2.049218890357752e-12,58309
46,0,0,0.0003749404577357853,2.709335124231497e-12,78052
