# mesh name: latMid2D
# primitive scorer name: latMidDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,7.894776630238228e-06,6.436191736631038e-14,1649
1,0,0,9.800273516005551e-06,8.192391725023292e-14,2014
2,0,0,1.10821609568746e-05,8.959473133034425e-14,2276
3,0,0,1.326433941125094e-05,1.066721251610711e-13,2786
4,0,0,1.6448958896676e-05,1.35387932433226e-13,3290
5,0,0,1.923124937150418e-05,1.548827344323388e-13,3921
6,0,0,2.370131055215586e-05,1.944699253823916e-13,4681
7,0,0,2.883791252921423e-05,2.359616072462326e-13,5657
8,0,0,3.461419572587953e-05,2.856799203008764e-13,6712
9,0,0,4.101962230986429e-05,3.275751875773252e-13,8123
10,0,0,4.834341206746251e-05,3.860443192086376e-13,9589
11,0,0,5.78280640636811e-05,4.556746582277163e-13,11564
12,0,0,7.027350561069761e-05,5.570475965108577e-13,14001
13,0,0,8.390237857956709e-05,6.549626714767805e-13,16734
14,0,0,9.922396147975751e-05,7.66054889336834e-13,19949
15,0,0,0.0001207632914836127,9.336493472552404e-13,24371
16,0,0,0.000144682043345171,1.107377856539416e-12,29371
17,0,0,0.0001713593705311537,1.303949201185881e-12,34882
18,0,0,0.0002043444490696018,1.552800236474132e-12,41497
19,0,0,0.0002454308518771438,1.844932189101227e-12,49790
20,0,0,0.0002878839274661258,2.144456315401491e-12,58557
21,0,0,0.0003378043715750907,2.53423628903013e-12,68686
22,0,0,0.0003912169847648882,2.895815356388142e-12,79083
23,0,0,0.0004450499581883274,3.275759352460728e-12,89745
24,0,0,0.0004981775272468651,3.642257333022919e-12,100210
25,0,0,0.0005481348340003481,4.05000805456773e-12,109677
26,0,0,0.0005964810175430749,4.380606311113248e-12,119364
27,0,0,0.0006375066225008599,4.680006799679659e-12,127466
28,0,0,0.0006706799626294271,4.912041530450664e-12,134618
29,0,0,0.0007052309113986577,5.17989857735381e-12,141204
30,0,0,0.0007335329946513886,5.378236718551347e-12,146957
31,0,0,0.0007562836965905961,5.738580677449283e-12,151677
32,0,0,0.0007803863722068276,5.745343207324025e-12,155931
33,0,0,0.0007900713206660097,5.812110084859699e-12,158491
34,0,0,0.0008101652275876209,5.955702266697209e-12,162184
35,0,0,0.0008137533156313949,5.983353896020688e-12,163288
36,0,0,0.0008261285432780251,6.095091922966231e-12,165215
37,0,0,0.0008415541044558256,6.214001221870196e-12,168033
38,0,0,0.0008485983493783843,6.284052074512467e-12,169575
39,0,0,0.0008546055850587233,6.306418281227554e-12,171278
40,0,0,0.0008579001887411281,6.320935527328506e-12,171903
41,0,0,0.0008697781993957557,6.418228078810457e-12,174087
42,0,0,0.0008772544739481393,6.505149382148578e-12,175030
43,0,0,0.0008802647024675342,6.500993802346666e-12,176170
44,0,0,0.0008847947785580928,6.523034617173422e-12,177372
45,0,0,0.0008891780694488075,6.547305098859514e-12,178428
46,0,0,0.0008962422998738071,6.60505468261583e-12,179303
47,0,0,0.0008968636930308686,6.612612431914792e-12,179475
48,0,0,0.0009037160032177895,6.685742243316101e-12,180437
49,0,0,0.0009077934721177108,6.727642414222695e-12,181520
50,0,0,0.0009142720687965426,6.737708958900826e-12,182837
51,0,0,0.0009091033397650203,6.699393775413235e-12,182172
52,0,0,0.0009115595564546442,6.746387627248709e-12,182892
53,0,0,0.0009158845229379263,6.727267069698862e-12,183634
54,0,0,0.0009239307369427239,6.787631916783443e-12,185054
55,0,0,0.0009269265341089647,6.829453988327644e-12,185245
56,0,0,0.0009290710914318281,6.827811851038474e-12,186363
57,0,0,0.0009339977726414201,6.868652900407904e-12,187061
58,0,0,0.0009321991850730194,6.844315377810142e-12,187166
59,0,0,0.0009377922316383912,6.917144544534885e-12,188322
60,0,0,0.000945356065839317,6.970678367467751e-12,188749
61,0,0,0.0009440556958989119,6.952878876164063e-12,189057
62,0,0,0.0009397377133215022,6.921879017615356e-12,188463
63,0,0,0.0009491951193418341,6.990758852167453e-12,190386
64,0,0,0.0009420047630375678,6.903392390364699e-12,189293
65,0,0,0.0009475435085115197,6.978559360455569e-12,189520
66,0,0,0.0009461126511031221,6.944647239462164e-12,189863
67,0,0,0.000948159598041103,6.954988424046219e-12,190489
68,0,0,0.0009532293989917406,6.981204700926379e-12,191286
