# mesh name: latR50_2D
# primitive scorer name: latR50Dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,2.493137221785021e-07,1.607907815537032e-15,107
1,0,0,2.942695042280208e-07,2.075438204812046e-15,115
2,0,0,3.282985825410068e-07,2.108194365001119e-15,121
3,0,0,2.553906996258827e-07,1.636515693466675e-15,114
4,0,0,2.682211852112016e-07,1.951386191435735e-15,108
5,0,0,2.448334321148666e-07,1.324617604706214e-15,117
6,0,0,2.832588356242698e-07,2.156396292852896e-15,119
7,0,0,3.545572488583432e-07,3.03180782881965e-15,119
8,0,0,2.681954733467468e-07,1.874262571612026e-15,108
9,0,0,3.215290326399274e-07,2.315221803440599e-15,124
10,0,0,3.521634568947434e-07,2.526665529150579e-15,132
11,0,0,3.789501128676051e-07,2.61928246255764e-15,144
12,0,0,3.774495461018726e-07,2.524954424525042e-15,154
13,0,0,3.789960097715576e-07,3.093748443563223e-15,147
14,0,0,3.640612284749e-07,2.84024417816008e-15,144
15,0,0,3.623686477657168e-07,2.340108721825159e-15,124
16,0,0,3.315548990177285e-07,1.793221456713957e-15,150
17,0,0,4.493310221277321e-07,3.105899416996868e-15,168
18,0,0,3.757608114980063e-07,2.67068301680075e-15,158
19,0,0,3.425415041666823e-07,2.408971519707236e-15,142
20,0,0,3.793111546641519e-07,2.330555546433754e-15,172
21,0,0,3.099242387200272e-07,1.763953783731623e-15,159
22,0,0,3.79790228823481e-07,2.521169656474877e-15,165
23,0,0,5.236274715077848e-07,4.172764463244914e-15,188
24,0,0,5.944171725057905e-07,4.665619655207458e-15,204
25,0,0,7.871286817647265e-07,6.211983305683861e-15,238
26,0,0,8.687834902249862e-07,6.511974054612364e-15,259
27,0,0,1.293633178880914e-06,1.072706467754013e-14,347
28,0,0,1.713971337733691e-06,1.416670103345824e-14,421
29,0,0,2.164345630312628e-06,1.786909213240451e-14,512
30,0,0,2.860598115956116e-06,2.407223695235618e-14,633
31,0,0,3.913154527162647e-06,3.186653915170373e-14,845
32,0,0,6.139569125050294e-06,5.254517288164978e-14,1221
33,0,0,8.027217280172593e-06,6.863995092408861e-14,1525
34,0,0,1.018310448049374e-05,8.411616794853587e-14,1958
35,0,0,1.372223305374756e-05,1.157871744376916e-13,2590
36,0,0,1.904624492090158e-05,1.574853524964572e-13,3575
37,0,0,2.472093074629884e-05,2.039643528293044e-13,4717
38,0,0,3.346712097436227e-05,2.79133761569062e-13,6172
39,0,0,4.361121103524277e-05,3.647063947376987e-13,8195
40,0,0,5.712444824340524e-05,4.691545191101115e-13,10723
41,0,0,7.161932645487707e-05,5.83448246869846e-13,13624
42,0,0,9.254170573482208e-05,7.558906545472591e-13,17595
43,0,0,0.0001153731166413449,9.222705612061881e-13,22399
44,0,0,0.0001443517503457264,1.140005099622045e-12,28204
45,0,0,0.0001808842081267985,1.417384618502802e-12,35278
46,0,0,0.0002259031981406282,1.765298029431186e-12,43969
47,0,0,0.0002742801499098158,2.128250123564578e-12,53787
48,0,0,0.0003281058719299967,2.546883990756573e-12,64005
